datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,hour,times,jitter_times,Weekday
2011-01-01 00:00:00,春,0,0,出太陽,9.84,14.395,81,0,3,13,16,0,2018-01-17T00:00:00Z,2018-01-17T00:56:00Z,Sat
2011-01-01 01:00:00,春,0,0,出太陽,9.02,13.635,80,0,8,32,40,1,2018-01-17T01:00:00Z,2018-01-17T01:27:00Z,Sat
2011-01-01 02:00:00,春,0,0,出太陽,9.02,13.635,80,0,5,27,32,2,2018-01-17T02:00:00Z,2018-01-17T02:40:00Z,Sat
2011-01-01 03:00:00,春,0,0,出太陽,9.84,14.395,75,0,3,10,13,3,2018-01-17T03:00:00Z,2018-01-17T03:34:00Z,Sat
2011-01-01 04:00:00,春,0,0,出太陽,9.84,14.395,75,0,0,1,1,4,2018-01-17T04:00:00Z,2018-01-17T04:06:00Z,Sat
2011-01-01 05:00:00,春,0,0,陰天,9.84,12.88,75,6.0032,0,1,1,5,2018-01-17T05:00:00Z,2018-01-17T05:53:00Z,Sat
2011-01-01 06:00:00,春,0,0,出太陽,9.02,13.635,80,0,2,0,2,6,2018-01-17T06:00:00Z,2018-01-17T06:15:00Z,Sat
2011-01-01 07:00:00,春,0,0,出太陽,8.2,12.88,86,0,1,2,3,7,2018-01-17T07:00:00Z,2018-01-17T07:02:00Z,Sat
2011-01-01 08:00:00,春,0,0,出太陽,9.84,14.395,75,0,1,7,8,8,2018-01-17T08:00:00Z,2018-01-17T08:19:00Z,Sat
2011-01-01 09:00:00,春,0,0,出太陽,13.12,17.425,76,0,8,6,14,9,2018-01-17T09:00:00Z,2018-01-17T09:56:00Z,Sat
2011-01-01 10:00:00,春,0,0,出太陽,15.58,19.695,76,16.9979,12,24,36,10,2018-01-17T10:00:00Z,2018-01-17T10:52:00Z,Sat
2011-01-01 11:00:00,春,0,0,出太陽,14.76,16.665,81,19.0012,26,30,56,11,2018-01-17T11:00:00Z,2018-01-17T11:41:00Z,Sat
2011-01-01 12:00:00,春,0,0,出太陽,17.22,21.21,77,19.0012,29,55,84,12,2018-01-17T12:00:00Z,2018-01-17T12:38:00Z,Sat
2011-01-01 13:00:00,春,0,0,陰天,18.86,22.725,72,19.9995,47,47,94,13,2018-01-17T13:00:00Z,2018-01-17T13:59:00Z,Sat
2011-01-01 14:00:00,春,0,0,陰天,18.86,22.725,72,19.0012,35,71,106,14,2018-01-17T14:00:00Z,2018-01-17T14:39:00Z,Sat
2011-01-01 15:00:00,春,0,0,陰天,18.04,21.97,77,19.9995,40,70,110,15,2018-01-17T15:00:00Z,2018-01-17T15:42:00Z,Sat
2011-01-01 16:00:00,春,0,0,陰天,17.22,21.21,82,19.9995,41,52,93,16,2018-01-16T16:00:00Z,2018-01-16T16:32:00Z,Sat
2011-01-01 17:00:00,春,0,0,陰天,18.04,21.97,82,19.0012,15,52,67,17,2018-01-16T17:00:00Z,2018-01-16T17:35:00Z,Sat
2011-01-01 18:00:00,春,0,0,雨天,17.22,21.21,88,16.9979,9,26,35,18,2018-01-16T18:00:00Z,2018-01-16T18:17:00Z,Sat
2011-01-01 19:00:00,春,0,0,雨天,17.22,21.21,88,16.9979,6,31,37,19,2018-01-16T19:00:00Z,2018-01-16T19:09:00Z,Sat
2011-01-01 20:00:00,春,0,0,陰天,16.4,20.455,87,16.9979,11,25,36,20,2018-01-16T20:00:00Z,2018-01-16T20:57:00Z,Sat
2011-01-01 21:00:00,春,0,0,陰天,16.4,20.455,87,12.998,3,31,34,21,2018-01-16T21:00:00Z,2018-01-16T21:53:00Z,Sat
2011-01-01 22:00:00,春,0,0,陰天,16.4,20.455,94,15.0013,11,17,28,22,2018-01-16T22:00:00Z,2018-01-16T22:41:00Z,Sat
2011-01-01 23:00:00,春,0,0,陰天,18.86,22.725,88,19.9995,15,24,39,23,2018-01-16T23:00:00Z,2018-01-16T23:47:00Z,Sat
2011-01-02 00:00:00,春,0,0,陰天,18.86,22.725,88,19.9995,4,13,17,0,2018-01-17T00:00:00Z,2018-01-17T00:01:00Z,Sun
2011-01-02 01:00:00,春,0,0,陰天,18.04,21.97,94,16.9979,1,16,17,1,2018-01-17T01:00:00Z,2018-01-17T01:28:00Z,Sun
2011-01-02 02:00:00,春,0,0,陰天,17.22,21.21,100,19.0012,1,8,9,2,2018-01-17T02:00:00Z,2018-01-17T02:45:00Z,Sun
2011-01-02 03:00:00,春,0,0,陰天,18.86,22.725,94,12.998,2,4,6,3,2018-01-17T03:00:00Z,2018-01-17T03:13:00Z,Sun
2011-01-02 04:00:00,春,0,0,陰天,18.86,22.725,94,12.998,2,1,3,4,2018-01-17T04:00:00Z,2018-01-17T04:19:00Z,Sun
2011-01-02 06:00:00,春,0,0,雨天,17.22,21.21,77,19.9995,0,2,2,6,2018-01-17T06:00:00Z,2018-01-17T06:14:00Z,Sun
2011-01-02 07:00:00,春,0,0,陰天,16.4,20.455,76,12.998,0,1,1,7,2018-01-17T07:00:00Z,2018-01-17T07:08:00Z,Sun
2011-01-02 08:00:00,春,0,0,雨天,16.4,20.455,71,15.0013,0,8,8,8,2018-01-17T08:00:00Z,2018-01-17T08:24:00Z,Sun
2011-01-02 09:00:00,春,0,0,陰天,15.58,19.695,76,15.0013,1,19,20,9,2018-01-17T09:00:00Z,2018-01-17T09:24:00Z,Sun
2011-01-02 10:00:00,春,0,0,陰天,14.76,17.425,81,15.0013,7,46,53,10,2018-01-17T10:00:00Z,2018-01-17T10:22:00Z,Sun
2011-01-02 11:00:00,春,0,0,陰天,14.76,16.665,71,16.9979,16,54,70,11,2018-01-17T11:00:00Z,2018-01-17T11:09:00Z,Sun
2011-01-02 12:00:00,春,0,0,陰天,14.76,16.665,66,19.9995,20,73,93,12,2018-01-17T12:00:00Z,2018-01-17T12:08:00Z,Sun
2011-01-02 13:00:00,春,0,0,陰天,14.76,17.425,66,8.9981,11,64,75,13,2018-01-17T13:00:00Z,2018-01-17T13:14:00Z,Sun
2011-01-02 14:00:00,春,0,0,雨天,14.76,17.425,76,12.998,4,55,59,14,2018-01-17T14:00:00Z,2018-01-17T14:27:00Z,Sun
2011-01-02 15:00:00,春,0,0,雨天,13.94,16.665,81,11.0014,19,55,74,15,2018-01-17T15:00:00Z,2018-01-17T15:16:00Z,Sun
2011-01-02 16:00:00,春,0,0,雨天,13.94,16.665,71,11.0014,9,67,76,16,2018-01-16T16:00:00Z,2018-01-16T16:51:00Z,Sun
2011-01-02 17:00:00,春,0,0,出太陽,13.94,16.665,57,12.998,7,58,65,17,2018-01-16T17:00:00Z,2018-01-16T17:03:00Z,Sun
2011-01-02 18:00:00,春,0,0,陰天,14.76,16.665,46,22.0028,10,43,53,18,2018-01-16T18:00:00Z,2018-01-16T18:26:00Z,Sun
2011-01-02 19:00:00,春,0,0,出太陽,13.12,14.395,42,30.0026,1,29,30,19,2018-01-16T19:00:00Z,2018-01-16T19:47:00Z,Sun
2011-01-02 20:00:00,春,0,0,出太陽,12.3,13.635,39,23.9994,5,17,22,20,2018-01-16T20:00:00Z,2018-01-16T20:07:00Z,Sun
2011-01-02 21:00:00,春,0,0,出太陽,10.66,11.365,44,22.0028,11,20,31,21,2018-01-16T21:00:00Z,2018-01-16T21:33:00Z,Sun
2011-01-02 22:00:00,春,0,0,出太陽,9.84,10.605,44,19.9995,0,9,9,22,2018-01-16T22:00:00Z,2018-01-16T22:12:00Z,Sun
2011-01-02 23:00:00,春,0,0,出太陽,9.02,11.365,47,11.0014,0,8,8,23,2018-01-16T23:00:00Z,2018-01-16T23:08:00Z,Sun
2011-01-03 00:00:00,春,0,1,出太陽,9.02,9.85,44,23.9994,0,5,5,0,2018-01-17T00:00:00Z,2018-01-17T00:44:00Z,Mon
2011-01-03 01:00:00,春,0,1,出太陽,8.2,8.335,44,27.9993,0,2,2,1,2018-01-17T01:00:00Z,2018-01-17T01:53:00Z,Mon
2011-01-03 04:00:00,春,0,1,出太陽,6.56,6.82,47,26.0027,0,1,1,4,2018-01-17T04:00:00Z,2018-01-17T04:22:00Z,Mon
2011-01-03 05:00:00,春,0,1,出太陽,6.56,6.82,47,19.0012,0,3,3,5,2018-01-17T05:00:00Z,2018-01-17T05:39:00Z,Mon
2011-01-03 06:00:00,春,0,1,出太陽,5.74,5.305,50,26.0027,0,30,30,6,2018-01-17T06:00:00Z,2018-01-17T06:06:00Z,Mon
2011-01-03 07:00:00,春,0,1,出太陽,5.74,6.82,50,12.998,1,63,64,7,2018-01-17T07:00:00Z,2018-01-17T07:23:00Z,Mon
2011-01-03 08:00:00,春,0,1,出太陽,5.74,6.06,50,19.0012,1,153,154,8,2018-01-17T08:00:00Z,2018-01-17T08:16:00Z,Mon
2011-01-03 09:00:00,春,0,1,出太陽,6.56,6.82,43,26.0027,7,81,88,9,2018-01-17T09:00:00Z,2018-01-17T09:48:00Z,Mon
2011-01-03 10:00:00,春,0,1,出太陽,7.38,8.335,43,16.9979,11,33,44,10,2018-01-17T10:00:00Z,2018-01-17T10:26:00Z,Mon
2011-01-03 11:00:00,春,0,1,出太陽,8.2,9.09,40,22.0028,10,41,51,11,2018-01-17T11:00:00Z,2018-01-17T11:48:00Z,Mon
2011-01-03 12:00:00,春,0,1,出太陽,9.02,10.605,35,19.9995,13,48,61,12,2018-01-17T12:00:00Z,2018-01-17T12:48:00Z,Mon
2011-01-03 13:00:00,春,0,1,出太陽,9.84,10.605,35,19.0012,8,53,61,13,2018-01-17T13:00:00Z,2018-01-17T13:47:00Z,Mon
2011-01-03 14:00:00,春,0,1,出太陽,10.66,12.12,30,19.0012,11,66,77,14,2018-01-17T14:00:00Z,2018-01-17T14:26:00Z,Mon
2011-01-03 15:00:00,春,0,1,出太陽,10.66,12.12,30,16.9979,14,58,72,15,2018-01-17T15:00:00Z,2018-01-17T15:45:00Z,Mon
2011-01-03 16:00:00,春,0,1,出太陽,10.66,12.12,30,16.9979,9,67,76,16,2018-01-16T16:00:00Z,2018-01-16T16:37:00Z,Mon
